,uf_0,uf_1,uf_2,uf_3,uf_4,if_0,uf_5,uf_6,uf_7,uf_8,uf_9,uf_10,uf_11,uf_12,uf_13,uf_14,uf_15,uf_16,label
31,-1,-1,-1,12,-1,7,0,1,7,2,300,0.0,0,0,0.089285714,0.091743119,1.8888888888888888,69,0
32,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
33,-1,11,4,11,-1,2,-1,1,1,2,300,0.16363636363636366,0,1,0.082644628,0.086956522,1.4285714285714286,11,0
34,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
35,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
36,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
37,-1,-1,0,1,-1,9,3,2,0,1,3199,-1.0,0,1,0.096153846,0.099009901,1.0,5,0
38,0,-1,-1,3,-1,9,-1,3,0,1,300,-1.0,0,0,0.08403361300000001,0.1,1.0,3,0
39,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,1
40,-1,-1,0,3,3,4,0,1,3,1,600,0.0,0,0,0.076923077,0.071942446,1.0,14,0
41,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
42,-1,-1,-1,-1,-1,7,-1,1,3,2,420,0.2,0,0,0.081967213,0.1,1.5,6,0
43,-1,-1,4,1,1,8,3,2,0,3,2440,-1.0,0,28,0.09734513300000001,0.1,1.0,21,0
44,-1,-1,4,-1,-1,1,-1,2,6,1,840,0.13333333333333333,0,0,0.079365079,0.062111800999999994,1.1538461538461535,0,0
45,4,-1,-1,3,3,5,-1,1,5,4,1400,-1.0,0,1,0.071942446,0.1,1.0,6,0
46,3,-1,0,-1,-1,5,0,5,0,2,948,-1.0,0,0,0.097087379,0.093457944,1.0,4,0
47,-1,-1,0,4,-1,12,3,2,3,1,1400,0.0,0,0,0.052083333333333336,0.1,1.3333333333333333,32,0
48,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
49,-1,-1,-1,10,-1,3,-1,3,0,0,-1,-1.0,0,-1,-1.0,-1.0,-1.0,-1,0
50,-1,-1,-1,-1,-1,4,-1,3,6,1,1440,0.20280474649406688,0,11,0.011695906432748536,0.1,1.8235294117647056,0,0
51,-1,-1,-1,-1,-1,4,-1,2,1,1,700,0.0,0,1,0.057803468,0.1,1.25,6,0
52,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
53,-1,-1,-1,3,-1,10,2,3,2,1,1840,0.16814159292035402,0,2,0.06329113900000001,0.084745763,1.1111111111111112,8,0
54,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
55,0,-1,-1,-1,-1,1,-1,2,0,1,990,0.0,0,0,0.09433962300000001,0.09433962300000001,1.0,4,0
56,3,-1,0,10,-1,10,4,5,0,2,-1,-1.0,0,1,0.1,0.1,-1.0,2,0
57,-1,-1,-1,-1,-1,11,-1,1,0,1,1,-1.0,0,28,0.070175439,0.1,1.5,16,0
58,4,-1,-1,3,-1,11,4,2,9,1,300,0.14696485623003194,0,8,0.0433213,0.03257329,1.52,51,0
59,-1,-1,-1,-1,-1,10,-1,1,0,2,2289,0.16666666666666666,0,0,0.099009901,0.099009901,1.0,3,0
60,-1,-1,0,6,-1,10,0,2,3,1,400,0.125,0,3,0.099009901,0.097087379,1.3333333333333333,12,0
61,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
62,4,-1,0,12,-1,2,3,5,1,2,250,0.16279069767441862,0,1,0.090909091,0.090909091,1.125,6,0
63,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
64,-1,-1,-1,5,-1,11,-1,2,0,2,-1,-1.0,0,0,0.089285714,0.1,-1.0,1,0
65,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
66,-1,-1,0,-1,3,5,-1,2,0,0,-1,-1.0,0,3,0.1,0.1,-1.0,-1,0
67,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
68,-1,-1,-1,11,-1,8,-1,1,0,1,-1,-1.0,0,10,0.1,0.1,-1.0,1,0
69,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
70,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
71,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
72,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
73,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
74,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
75,-1,-1,-1,-1,-1,1,-1,1,4,1,470,0.2,0,0,0.05988024,0.1,2.1666666666666665,16,0
76,-1,-1,-1,3,-1,10,-1,3,2,3,1200,0.0,0,5,0.072368421,0.058479532,1.5714285714285714,18,0
77,-1,-1,-1,4,-1,10,-1,2,0,1,2930,-1.0,0,-1,0.098039216,0.095238095,1.0,1,0
78,-1,-1,4,9,-1,11,3,0,2,2,299,0.0,0,1,0.04444444400000001,0.09433962300000001,1.2727272727272727,22,0
79,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
80,3,-1,0,3,-1,2,-1,4,0,3,9600,-1.0,0,0,-1.0,-1.0,1.0,3,0
81,-1,-1,-1,11,-1,5,-1,2,0,1,6900,-1.0,0,1,0.097087379,0.096153846,1.0,7,0
82,-1,-1,0,1,-1,12,0,2,0,1,3166,0.14285714285714285,0,0,0.087719298,0.07751938,1.0,2,0
83,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
84,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1.0,-1,-1,0.090909091,0.089285714,-1.0,-1,0
85,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
86,-1,-1,-1,-1,-1,2,0,2,0,1,-1,-1.0,0,0,0.1,0.1,-1.0,1,0
87,4,-1,3,9,-1,4,-1,1,1,1,1360,0.14385964912280702,0,4,0.057142857142857134,0.089285714,1.2,5,0
88,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
89,-1,-1,-1,7,-1,6,-1,1,0,1,100,0.14285714285714285,0,8,0.08730158699999999,0.07518797,1.1666666666666667,2,0
90,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
91,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
92,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
93,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
94,-1,-1,4,9,-1,9,3,2,1,2,200,-1.0,0,1,0.093457944,0.089285714,1.25,6,0
95,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
96,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
97,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
98,-1,-1,-1,12,-1,8,-1,5,3,2,438,0.0,0,9,0.046082949000000005,0.1,1.3333333333333333,11,0
99,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,1
100,-1,-1,-1,-1,-1,9,-1,1,0,1,-1,-1.0,0,0,0.1,0.1,-1.0,1,0
101,3,-1,0,10,-1,3,0,2,1,1,790,0.0,0,3,0.066225166,0.057471264,1.0,3,0
102,0,-1,0,11,-1,3,-1,2,1,1,5000,0.0,0,-2,0.096153846,0.1,1.0,1,0
103,-1,-1,-1,7,-1,7,-1,2,1,3,600,0.2,0,4,0.034364261,0.07751938,1.1,21,0
104,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
105,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
106,-1,-1,-1,-1,-1,12,-1,2,6,2,169,-1.0,0,1,0.1,0.1,2.5,2,0
107,0,-1,-1,2,-1,10,-1,1,9,2,390,0.2,0,36,0.020952381000000003,0.1,1.72,63,0
108,4,-1,0,7,-1,7,4,2,0,1,350,0.0,0,3,0.072368421,0.074626866,1.5714285714285714,0,0
109,-1,-1,-1,-1,-1,8,-1,2,0,2,199,-1.0,0,17,0.08064516099999999,0.076923077,3.0,13,0
110,-1,-1,-1,-1,-1,8,-1,2,2,2,1,0.0,0,1,0.081967213,0.073529412,1.0,3,0
111,-1,-1,3,-1,2,9,4,3,0,0,-1,-1.0,0,-1,-1.0,-1.0,-1.0,-1,0
112,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
113,-1,-1,4,10,-1,1,4,2,0,1,2150,0.16666666666666666,0,4,0.096153846,0.095238095,1.0,23,0
114,4,-1,-1,5,-1,8,-1,2,1,4,831,0.2,0,0,0.1,0.1,1.2,15,0
115,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
116,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
117,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
118,-1,-1,-1,-1,-1,12,-1,1,1,2,1996,0.0,0,0,0.098039216,0.096153846,1.0,9,0
119,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
120,4,-1,4,8,3,7,-1,2,4,2,300,0.13636363636363635,0,2,0.054945054945054944,0.037735849,2.3076923076923075,36,0
121,4,-1,-1,5,-1,4,-1,2,0,2,-1,-1.0,0,2,0.1,0.1,-1.0,5,0
122,-1,-1,-1,7,-1,4,-1,2,0,1,1066,0.15384615384615385,0,3,0.096153846,0.09433962300000001,1.0,0,0
123,-1,-1,-1,6,-1,6,-1,1,1,2,1890,0.2,0,13,0.06993007,0.1,1.2,10,0
124,-1,-1,-1,-1,-1,9,-1,3,0,1,-1,-1.0,0,-1,0.1,0.1,-1.0,1,0
125,0,-1,0,7,3,1,3,1,0,2,50,-1.0,0,0,0.078125,0.1,1.2,8,0
126,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
127,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
128,-1,-1,-1,-1,-1,6,-1,3,0,1,-1,0.1686746987951807,0,-1,0.08064516099999999,0.081300813,-1.0,1,0
129,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
130,-1,-1,3,7,-1,10,3,2,0,1,1357,0.0,0,1,0.088495575,0.096153846,2.0,0,0
131,-1,-1,0,12,-1,2,-1,2,0,2,2050,-1.0,0,1,0.085470085,0.1,1.0,10,0
132,3,-1,4,10,1,1,3,2,1,1,1799,-1.0,0,0,0.092592593,0.093457944,1.6,13,0
133,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
134,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
135,-1,-1,-1,3,3,11,-1,1,0,1,1650,-1.0,0,1,0.090909091,0.084745763,1.0,5,0
136,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
137,0,-1,-1,10,-1,8,3,2,5,3,219,0.15,0,1,0.078740157,0.099009901,2.5,29,0
138,-1,-1,-1,-1,-1,7,-1,3,2,2,2480,-1.0,0,0,-1.0,-1.0,1.0,14,0
139,-1,-1,0,-1,-1,10,-1,2,0,1,388,-1.0,0,0,0.1,0.1,1.0,1,0
140,4,-1,-1,9,-1,7,3,1,1,2,350,0.0,0,1,0.046296295999999994,0.040650407,1.625,10,0
141,-1,-1,-1,-1,-1,6,-1,2,1,2,761,-1.0,0,2,0.087719298,0.075757576,1.3333333333333333,16,0
142,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
143,-1,-1,-1,-1,-1,4,-1,3,1,2,1,-1.0,0,-1,0.1,0.1,1.0,7,0
144,-1,-1,-1,6,-1,12,-1,2,3,2,490,0.1388888888888889,0,6,0.1,0.087719298,1.0,5,0
145,4,-1,-1,5,3,5,4,2,3,1,798,0.15,0,27,0.095238095,0.1,1.25,29,0
146,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
147,-1,-1,-1,-1,-1,1,-1,0,0,1,420,0.25,0,0,0.037037037037037035,0.1,1.6,22,0
148,-1,-1,-1,-1,-1,11,-1,1,2,1,1330,0.1656441717791411,0,2,0.070422535,0.066225166,1.0,28,0
149,-1,-1,-1,-1,-1,12,4,1,1,1,399,0.0,0,0,0.09009009,0.078740157,1.3333333333333333,4,0
150,-1,-1,3,-1,3,2,-1,1,0,1,-1,-1.0,0,-1,0.099009901,0.099009901,-1.0,1,0
151,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
152,3,-1,-1,-1,-1,10,-1,2,0,1,-1,-1.0,0,0,0.1,0.1,-1.0,1,0
153,-1,-1,-1,3,-1,12,-1,2,0,2,1420,0.0,0,10,0.036900369,0.096153846,1.0,2,0
154,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
155,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
156,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
157,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
158,-1,-1,-1,-1,3,3,-1,1,3,1,299,0.0,960,3,0.057471264,0.041322314,1.375,10,0
159,-1,-1,-1,6,-1,3,0,2,0,2,100,-1.0,0,0,-1.0,-1.0,1.3333333333333333,5,0
160,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
161,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
162,0,-1,-1,4,-1,4,4,1,5,2,1449,0.0,0,2,0.08870967699999999,0.076923077,1.4090909090909092,66,0
163,-1,-1,0,7,-1,4,-1,4,0,1,-1,-1.0,0,-1,0.1,0.1,-1.0,0,0
164,-1,-1,-1,6,-1,2,-1,2,0,2,-1,-1.0,0,2,0.1,0.1,-1.0,1,0
165,-1,-1,-1,-1,-1,9,-1,3,6,1,928,0.13924050632911392,0,0,0.1,0.068965517,1.2,7,0
166,0,-1,0,7,-1,1,4,2,3,1,370,0.16470588235294115,590,1,0.076923077,0.085470085,1.25,15,0
167,-1,-1,-1,12,-1,3,0,5,0,3,498,-1.0,0,3,0.09482758599999999,0.097087379,1.8571428571428568,8,0
168,-1,-1,-1,-1,-1,11,0,2,1,1,5490,0.2,0,0,0.016694491000000002,0.1,1.0,3,0
169,0,5,4,5,-1,2,4,1,1,2,100,0.0,0,1,0.081300813,0.096153846,1.0,50,0
170,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
171,-1,-1,-1,-1,-1,4,-1,1,3,2,99,0.2066115702479339,0,0,0.039215686,0.1,1.0555555555555556,19,0
172,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
173,-1,-1,-1,-1,3,3,-1,1,0,1,300,-1.0,0,1,0.088495575,0.072463768,1.5,1,0
174,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
175,0,-1,3,-1,-1,4,-1,2,1,2,4500,0.1388888888888889,0,1,0.083333333,0.0625,1.1666666666666667,3,0
176,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
177,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
178,4,-1,4,1,2,8,4,2,1,2,250,0.0,0,35,0.059405941,0.061728395061728385,1.2,31,0
179,-1,-1,-1,-1,-1,2,-1,3,0,0,-1,-1.0,0,-1,-1.0,-1.0,-1.0,-1,0
180,-1,-1,-1,-1,-1,4,-1,2,1,1,2130,-1.0,0,0,-1.0,-1.0,1.0,4,0
181,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
182,4,-1,0,-1,-1,4,0,2,0,1,-1,0.0,0,0,0.08620689699999999,0.078125,-1.0,0,0
183,0,-1,-1,2,-1,11,0,2,1,3,3900,0.2,0,0,0.056179775,0.1,1.2352941176470589,2,0
184,4,-1,-1,10,-1,5,-1,2,0,2,1,0.0,0,0,0.08,0.072463768,1.0,6,0
185,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
186,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
187,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
188,-1,-1,0,-1,-1,2,-1,2,1,1,800,0.14285714285714285,0,1,0.091743119,0.08620689699999999,1.0769230769230769,16,0
189,-1,-1,-1,-1,-1,5,4,2,1,1,299,0.0,0,3,0.058823529000000006,0.1,1.1111111111111112,19,0
190,-1,-1,-1,-1,-1,4,-1,2,4,2,400,-1.0,0,0,-1.0,-1.0,1.25,5,0
191,-1,-1,-1,-1,-1,6,0,2,0,1,-1,0.16,0,0,0.1,0.095238095,-1.0,0,0
192,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
193,0,-1,0,8,-1,9,-1,2,1,2,3000,0.0,0,3,0.06802721099999999,0.072463768,1.5714285714285714,27,0
194,-1,-1,3,10,-1,8,0,2,0,1,-1,-1.0,0,0,0.1,0.1,-1.0,1,0
195,-1,-1,-1,4,3,3,-1,3,1,1,3476,0.14285714285714285,0,0,0.09433962300000001,0.092592593,1.0,11,0
196,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
197,4,-1,3,8,-1,2,3,5,1,2,1299,0.0,0,110,0.011904761904761906,0.07751938,1.3333333333333333,46,0
198,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
199,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
200,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
201,-1,-1,-1,7,3,9,-1,1,0,1,-1,0.0,0,0,0.083333333,0.096153846,-1.0,0,0
202,-1,-1,-1,-1,-1,11,3,3,0,1,-1,-1.0,0,0,0.1,0.1,-1.0,1,0
203,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
204,4,-1,-1,1,-1,4,-1,3,1,1,100,0.0,0,18,0.097560976,0.083333333,1.5,6,0
205,3,-1,0,2,3,10,0,2,0,2,2000,-1.0,0,1,0.1,0.1,2.0,7,0
206,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
207,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
208,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
209,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
210,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
211,4,-1,0,2,3,2,4,1,5,2,150,0.0,0,2,0.078125,0.09433962300000001,1.1764705882352942,55,0
212,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
213,3,-1,-1,3,3,11,0,2,0,1,1290,0.17073170731707318,0,0,0.09433962300000001,0.097087379,1.0,12,0
214,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
215,-1,-1,-1,-1,-1,7,4,0,1,1,380,0.0,0,19,0.088495575,0.07092198599999999,1.3333333333333333,15,0
216,-1,-1,-1,-1,-1,10,-1,1,4,1,350,0.0,0,2,0.057142857142857134,0.04784689,1.6666666666666667,33,0
217,-1,-1,-1,-1,-1,12,-1,2,1,1,582,-1.0,0,-1,-1.0,-1.0,1.0,1,0
218,-1,-1,-1,3,-1,7,-1,3,0,1,-1,-1.0,0,-1,-1.0,-1.0,-1.0,0,0
219,0,-1,4,4,3,10,-1,1,2,2,945,0.17073170731707318,0,37,0.081632653,0.079365079,1.55,42,0
220,0,12,3,12,-1,9,4,1,6,1,100,0.0,0,12,0.066225166,0.085470085,1.625,13,0
221,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,0
222,0,-1,0,-1,-1,1,2,2,0,1,390,-1.0,0,1,0.097087379,0.093457944,1.0,6,0
223,4,-1,-1,3,-1,5,-1,2,1,1,200,0.16666666666666666,0,5,0.095238095,0.096153846,1.0,9,0
